frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920088.660978299,481369,frame-00000.png
1,0.100000001,16920088.726833500,465563,frame-00001.png
2,0.150000006,16920088.793223701,486539,frame-00002.png
3,0.200000003,16920088.856290601,477200,frame-00003.png
4,0.250000000,16920088.920319200,474179,frame-00004.png
5,0.300000012,16920088.983984500,479213,frame-00005.png
6,0.350000024,16920089.051634200,482453,frame-00006.png
7,0.400000036,16920089.116903100,478300,frame-00007.png
8,0.450000048,16920089.188898802,481175,frame-00008.png
9,0.500000060,16920089.260729600,465525,frame-00009.png
10,0.550000072,16920089.335810799,486873,frame-00010.png
11,0.600000083,16920089.402085699,477358,frame-00011.png
12,0.000000119,16920089.468134701,474756,frame-00012.png
13,0.050000120,16920089.537269302,478383,frame-00013.png
