frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920091.437263001,487078,frame-00000.png
1,0.100000001,16920091.517347299,479113,frame-00001.png
2,0.150000006,16920091.581763700,475900,frame-00002.png
3,0.200000003,16920091.647565801,480205,frame-00003.png
4,0.250000000,16920091.713971902,484138,frame-00004.png
5,0.300000012,16920091.781494301,481333,frame-00005.png
6,0.350000024,16920091.848946799,484204,frame-00006.png
7,0.400000036,16920091.914668400,470686,frame-00007.png
8,0.450000048,16920091.984582402,491096,frame-00008.png
9,0.500000060,16920092.059006002,482771,frame-00009.png
10,0.550000072,16920092.130569801,480130,frame-00010.png
11,0.600000083,16920092.200742599,484422,frame-00011.png
12,0.650000095,16920092.275499299,487334,frame-00012.png
13,0.700000107,16920092.345501099,484700,frame-00013.png
14,0.750000119,16920092.420358900,487734,frame-00014.png
15,0.800000131,16920092.485252999,472824,frame-00015.png
16,0.850000143,16920092.558765601,492201,frame-00016.png
17,0.900000155,16920092.626626801,483218,frame-00017.png
18,0.950000167,16920092.693368498,480377,frame-00018.png
19,0.000000119,16920092.759217702,480040,frame-00019.png
20,0.050000120,16920092.826525498,483504,frame-00020.png
