frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920084.298026901,476427,frame-00000.png
1,0.100000001,16920084.366567001,479520,frame-00001.png
2,0.150000006,16920084.445547201,483185,frame-00002.png
3,0.200000003,16920084.521710500,478951,frame-00003.png
4,0.250000000,16920084.595287200,481515,frame-00004.png
5,0.300000012,16920084.670505699,465444,frame-00005.png
6,0.350000024,16920084.745458201,487217,frame-00006.png
7,0.400000036,16920084.808829501,477247,frame-00007.png
8,0.450000048,16920084.874990601,474737,frame-00008.png
9,0.500000060,16920084.942956001,478696,frame-00009.png
10,0.550000072,16920085.007744901,482437,frame-00010.png
11,0.600000083,16920085.074114300,478428,frame-00011.png
12,0.650000095,16920085.139233202,481339,frame-00012.png
13,0.700000107,16920085.203660499,465092,frame-00013.png
14,0.750000119,16920085.269913599,486613,frame-00014.png
15,0.800000131,16920085.336767901,476910,frame-00015.png
16,0.850000143,16920085.403243799,474149,frame-00016.png
17,0.900000155,16920085.475256398,477833,frame-00017.png
18,0.950000167,16920085.544475701,481850,frame-00018.png
19,1.000000119,16920085.612266202,477877,frame-00019.png
20,1.050000072,16920085.679395702,481164,frame-00020.png
21,1.100000024,16920085.744130701,465129,frame-00021.png
22,1.149999976,16920085.811532699,486435,frame-00022.png
23,1.199999928,16920085.880292598,476782,frame-00023.png
24,1.249999881,16920085.949497800,474444,frame-00024.png
25,1.299999833,16920086.018634498,478196,frame-00025.png
26,1.349999785,16920086.086476400,481577,frame-00026.png
27,1.399999738,16920086.154064599,477858,frame-00027.png
28,1.449999690,16920086.218724400,480929,frame-00028.png
29,1.499999642,16920086.282028899,464983,frame-00029.png
30,1.549999595,16920086.348032702,486436,frame-00030.png
31,1.599999547,16920086.413071599,476876,frame-00031.png
32,1.649999499,16920086.481183100,474153,frame-00032.png
33,1.699999452,16920086.544872899,477763,frame-00033.png
34,1.749999404,16920086.619245999,481933,frame-00034.png
35,1.799999356,16920086.694437400,477893,frame-00035.png
36,1.849999309,16920086.768017098,480414,frame-00036.png
37,1.899999261,16920086.840032902,465167,frame-00037.png
38,1.949999213,16920086.913861401,486233,frame-00038.png
39,1.999999166,16920086.984446499,476748,frame-00039.png
40,0.049999237,16920087.059993502,474310,frame-00040.png
