frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920087.223612100,476196,frame-00000.png
1,0.100000001,16920087.294239901,479575,frame-00001.png
2,0.150000006,16920087.361421701,483378,frame-00002.png
3,0.200000003,16920087.425721999,479826,frame-00003.png
4,0.250000000,16920087.493126500,483031,frame-00004.png
5,0.300000012,16920087.555293601,466848,frame-00005.png
6,0.350000024,16920087.622395299,487806,frame-00006.png
7,0.400000036,16920087.686189000,478393,frame-00007.png
8,0.450000048,16920087.750080600,475172,frame-00008.png
9,0.500000060,16920087.812491100,479116,frame-00009.png
10,0.550000072,16920087.875910498,483545,frame-00010.png
11,0.600000083,16920087.943607699,479575,frame-00011.png
12,0.650000095,16920088.009873800,482431,frame-00012.png
13,0.700000107,16920088.074273299,467078,frame-00013.png
14,0.750000119,16920088.141413800,488030,frame-00014.png
15,0.800000131,16920088.208462201,478837,frame-00015.png
16,0.850000143,16920088.273998201,475844,frame-00016.png
17,0.900000155,16920088.337304700,478834,frame-00017.png
18,0.950000167,16920088.404364500,482554,frame-00018.png
19,0.000000119,16920088.470202800,479038,frame-00019.png
20,0.050000120,16920088.537709799,482038,frame-00020.png
