frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920092.958501901,482927,frame-00000.png
1,0.100000001,16920093.029158302,478570,frame-00001.png
2,0.150000006,16920093.098409001,481202,frame-00002.png
3,0.200000003,16920093.167172901,465723,frame-00003.png
4,0.250000000,16920093.239342801,486485,frame-00004.png
5,0.300000012,16920093.305305399,476983,frame-00005.png
6,0.350000024,16920093.374705799,473348,frame-00006.png
7,0.400000036,16920093.452093799,477547,frame-00007.png
8,0.450000048,16920093.534832101,481118,frame-00008.png
9,0.500000060,16920093.606023699,477351,frame-00009.png
10,0.550000072,16920093.671704601,480116,frame-00010.png
11,0.600000083,16920093.738938700,464202,frame-00011.png
12,0.650000095,16920093.809022602,485534,frame-00012.png
13,0.700000107,16920093.878096700,476598,frame-00013.png
14,0.750000119,16920093.946419101,473134,frame-00014.png
15,0.800000131,16920094.016828001,477021,frame-00015.png
16,0.850000143,16920094.086410999,480367,frame-00016.png
17,0.900000155,16920094.159833800,477173,frame-00017.png
18,0.950000167,16920094.230584100,479955,frame-00018.png
19,1.000000119,16920094.298795000,464310,frame-00019.png
20,1.050000072,16920094.377728999,485531,frame-00020.png
21,1.100000024,16920094.446976800,476374,frame-00021.png
22,1.149999976,16920094.515688501,472888,frame-00022.png
23,1.199999928,16920094.585711099,476946,frame-00023.png
24,1.249999881,16920094.656549498,480832,frame-00024.png
25,1.299999833,16920094.727128401,477413,frame-00025.png
26,1.349999785,16920094.794920001,480940,frame-00026.png
27,1.399999738,16920094.865518399,465580,frame-00027.png
28,1.449999690,16920094.933764100,486603,frame-00028.png
29,1.499999642,16920095.004721198,477131,frame-00029.png
30,0.049999595,16920095.072234001,474530,frame-00030.png
