frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920123.567127600,497101,frame-00000.png
1,0.100000001,16920123.631276000,490674,frame-00001.png
2,0.150000006,16920123.694129501,484626,frame-00002.png
3,0.200000003,16920123.760431100,488078,frame-00003.png
4,0.250000000,16920123.830119502,490307,frame-00004.png
5,0.300000012,16920123.897121299,487232,frame-00005.png
6,0.350000024,16920123.963119701,489404,frame-00006.png
7,0.400000036,16920124.028236602,475296,frame-00007.png
8,0.450000048,16920124.098739699,496182,frame-00008.png
9,0.500000060,16920124.166409899,490021,frame-00009.png
10,0.550000072,16920124.233244300,484987,frame-00010.png
11,0.600000083,16920124.299494501,488083,frame-00011.png
12,0.000000119,16920124.378817301,491806,frame-00012.png
13,0.050000120,16920124.457305700,489684,frame-00013.png
