frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920122.467417799,486320,frame-00000.png
1,0.100000001,16920122.541729901,490090,frame-00001.png
2,0.150000006,16920122.611134101,493580,frame-00002.png
3,0.200000003,16920122.680163398,491081,frame-00003.png
4,0.250000000,16920122.749213599,493585,frame-00004.png
5,0.300000012,16920122.822159600,479107,frame-00005.png
6,0.350000024,16920122.894323900,498682,frame-00006.png
7,0.400000036,16920122.968127001,492343,frame-00007.png
8,0.450000048,16920123.040326402,486337,frame-00008.png
9,0.500000060,16920123.110576101,489815,frame-00009.png
10,0.550000072,16920123.176663999,493164,frame-00010.png
11,0.600000083,16920123.244533300,490630,frame-00011.png
12,0.650000095,16920123.313221399,493017,frame-00012.png
13,0.000000119,16920123.380788300,478673,frame-00013.png
14,0.050000120,16920123.450970098,498382,frame-00014.png
