frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920125.287706699,490971,frame-00000.png
1,0.100000001,16920125.350991700,493361,frame-00001.png
2,0.150000006,16920125.414679900,480284,frame-00002.png
3,0.200000003,16920125.488564301,500365,frame-00003.png
4,0.250000000,16920125.557750300,494140,frame-00004.png
5,0.300000012,16920125.623162400,489539,frame-00005.png
6,0.350000024,16920125.692061301,493800,frame-00006.png
7,0.400000036,16920125.759508099,497091,frame-00007.png
8,0.450000048,16920125.827612601,495259,frame-00008.png
9,0.500000060,16920125.890926700,497329,frame-00009.png
10,0.550000072,16920125.958641399,485098,frame-00010.png
11,0.600000083,16920126.023433302,504465,frame-00011.png
12,0.650000095,16920126.088150401,497122,frame-00012.png
13,0.700000107,16920126.151819501,491468,frame-00013.png
14,0.750000119,16920126.215351000,494761,frame-00014.png
15,0.800000131,16920126.278663699,497863,frame-00015.png
16,0.850000143,16920126.344585199,494986,frame-00016.png
17,0.900000155,16920126.412997700,496404,frame-00017.png
18,0.950000167,16920126.476868499,482969,frame-00018.png
19,0.000000119,16920126.542970698,497847,frame-00019.png
20,0.050000120,16920126.620526701,492782,frame-00020.png
