frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920118.084608201,493640,frame-00000.png
1,0.100000001,16920118.147576001,479294,frame-00001.png
2,0.150000006,16920118.214581698,498990,frame-00002.png
3,0.200000003,16920118.278946798,491851,frame-00003.png
4,0.250000000,16920118.342834100,485559,frame-00004.png
5,0.300000012,16920118.407682698,489154,frame-00005.png
6,0.350000024,16920118.473579600,492681,frame-00006.png
7,0.400000036,16920118.543409899,490574,frame-00007.png
8,0.450000048,16920118.609204002,492067,frame-00008.png
9,0.500000060,16920118.673618801,477959,frame-00009.png
10,0.550000072,16920118.738742601,498296,frame-00010.png
11,0.600000083,16920118.810582399,491074,frame-00011.png
12,0.650000095,16920118.880605999,485363,frame-00012.png
13,0.700000107,16920118.946020801,488719,frame-00013.png
14,0.750000119,16920119.011845700,492420,frame-00014.png
15,0.800000131,16920119.082394000,489870,frame-00015.png
16,0.850000143,16920119.152962599,491857,frame-00016.png
17,0.900000155,16920119.217519902,477629,frame-00017.png
18,0.950000167,16920119.281585000,497459,frame-00018.png
19,1.000000119,16920119.344647199,490634,frame-00019.png
20,1.050000072,16920119.407459900,484771,frame-00020.png
21,1.100000024,16920119.476697002,489076,frame-00021.png
22,1.149999976,16920119.543910701,492257,frame-00022.png
23,1.199999928,16920119.610230599,489522,frame-00023.png
24,1.249999881,16920119.677165899,491688,frame-00024.png
25,1.299999833,16920119.743491299,477978,frame-00025.png
26,1.349999785,16920119.812801600,497686,frame-00026.png
27,1.399999738,16920119.882864099,490213,frame-00027.png
28,1.449999690,16920119.947753102,484615,frame-00028.png
29,1.499999642,16920120.022979598,488523,frame-00029.png
30,1.549999595,16920120.093916699,491854,frame-00030.png
31,1.599999547,16920120.166350599,489191,frame-00031.png
32,1.649999499,16920120.249041699,491698,frame-00032.png
33,1.699999452,16920120.324491799,477860,frame-00033.png
34,1.749999404,16920120.398262199,497000,frame-00034.png
35,1.799999356,16920120.466381200,490330,frame-00035.png
36,1.849999309,16920120.535320699,484383,frame-00036.png
37,1.899999261,16920120.602987099,488562,frame-00037.png
38,1.949999213,16920120.671651602,492254,frame-00038.png
39,1.999999166,16920120.739366900,489359,frame-00039.png
40,0.049999237,16920120.806580901,491437,frame-00040.png
