frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920120.922783598,492344,frame-00000.png
1,0.100000001,16920120.987960599,478864,frame-00001.png
2,0.150000006,16920121.055967402,498778,frame-00002.png
3,0.200000003,16920121.122238699,492118,frame-00003.png
4,0.250000000,16920121.194964401,486504,frame-00004.png
5,0.300000012,16920121.263307001,490543,frame-00005.png
6,0.350000024,16920121.331200901,493730,frame-00006.png
7,0.400000036,16920121.398170400,491703,frame-00007.png
8,0.450000048,16920121.462697700,493026,frame-00008.png
9,0.500000060,16920121.530935701,478587,frame-00009.png
10,0.550000072,16920121.599471699,498565,frame-00010.png
11,0.600000083,16920121.666258302,491487,frame-00011.png
12,0.650000095,16920121.734534901,486240,frame-00012.png
13,0.700000107,16920121.804980900,490293,frame-00013.png
14,0.750000119,16920121.872239701,494022,frame-00014.png
15,0.800000131,16920121.938553501,491543,frame-00015.png
16,0.850000143,16920122.007136598,493040,frame-00016.png
17,0.900000155,16920122.072691899,479772,frame-00017.png
18,0.950000167,16920122.139162999,498695,frame-00018.png
19,0.000000119,16920122.221149500,491506,frame-00019.png
20,0.050000120,16920122.296084601,486087,frame-00020.png
