frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920126.764257502,491585,frame-00000.png
1,0.100000001,16920126.829930101,485773,frame-00001.png
2,0.150000006,16920126.897614799,489645,frame-00002.png
3,0.200000003,16920126.965341300,492934,frame-00003.png
4,0.250000000,16920127.033017900,489850,frame-00004.png
5,0.300000012,16920127.104880702,492489,frame-00005.png
6,0.350000024,16920127.170188300,477486,frame-00006.png
7,0.400000036,16920127.237214401,497546,frame-00007.png
8,0.450000048,16920127.305973500,490537,frame-00008.png
9,0.500000060,16920127.371205401,484428,frame-00009.png
10,0.550000072,16920127.433835998,488395,frame-00010.png
11,0.600000083,16920127.499866702,491346,frame-00011.png
12,0.650000095,16920127.565553799,488761,frame-00012.png
13,0.700000107,16920127.632956799,491325,frame-00013.png
14,0.750000119,16920127.700834598,477039,frame-00014.png
15,0.800000131,16920127.770344000,496818,frame-00015.png
16,0.850000143,16920127.835575402,489675,frame-00016.png
17,0.900000155,16920127.899296101,484189,frame-00017.png
18,0.950000167,16920127.963908099,488034,frame-00018.png
19,1.000000119,16920128.027816299,491149,frame-00019.png
20,1.050000072,16920128.092722401,488594,frame-00020.png
21,1.100000024,16920128.159136001,491012,frame-00021.png
22,1.149999976,16920128.222406700,476813,frame-00022.png
23,1.199999928,16920128.287864801,496841,frame-00023.png
24,1.249999881,16920128.359361500,489974,frame-00024.png
25,1.299999833,16920128.423141502,484910,frame-00025.png
26,1.349999785,16920128.489096399,488787,frame-00026.png
27,1.399999738,16920128.562971599,492087,frame-00027.png
28,1.449999690,16920128.643985201,490021,frame-00028.png
29,1.499999642,16920128.719784100,491879,frame-00029.png
30,0.049999595,16920128.791556299,478109,frame-00030.png
