frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920100.799025901,480632,frame-00000.png
1,0.100000001,16920100.865853701,479551,frame-00001.png
2,0.150000006,16920100.935822800,480501,frame-00002.png
3,0.200000003,16920101.005022001,464490,frame-00003.png
4,0.250000000,16920101.076692801,485736,frame-00004.png
5,0.300000012,16920101.143993001,477504,frame-00005.png
6,0.350000024,16920101.209579900,471340,frame-00006.png
7,0.400000036,16920101.280010100,476387,frame-00007.png
8,0.450000048,16920101.346686400,479210,frame-00008.png
9,0.500000060,16920101.413600300,479517,frame-00009.png
10,0.550000072,16920101.479361400,481471,frame-00010.png
11,0.600000083,16920101.544985902,465846,frame-00011.png
12,0.000000119,16920101.611046400,487919,frame-00012.png
13,0.050000120,16920101.678877302,479509,frame-00013.png
