frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920099.674466100,481925,frame-00000.png
1,0.100000001,16920099.740596801,465233,frame-00001.png
2,0.150000006,16920099.812209100,486476,frame-00002.png
3,0.200000003,16920099.878114101,478539,frame-00003.png
4,0.250000000,16920099.943409801,472448,frame-00004.png
5,0.300000012,16920100.015135199,476006,frame-00005.png
6,0.350000024,16920100.093002599,479077,frame-00006.png
7,0.400000036,16920100.168225098,478299,frame-00007.png
8,0.450000048,16920100.242473599,480063,frame-00008.png
9,0.500000060,16920100.324686799,465636,frame-00009.png
10,0.550000072,16920100.394414499,487478,frame-00010.png
11,0.600000083,16920100.464799501,479750,frame-00011.png
12,0.650000095,16920100.534019101,474441,frame-00012.png
13,0.000000119,16920100.606967300,477924,frame-00013.png
14,0.050000120,16920100.676803399,480849,frame-00014.png
