frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920102.562863301,480548,frame-00000.png
1,0.100000001,16920102.633590002,475547,frame-00001.png
2,0.150000006,16920102.703797601,479933,frame-00002.png
3,0.200000003,16920102.769183502,483551,frame-00003.png
4,0.250000000,16920102.836338401,483575,frame-00004.png
5,0.300000012,16920102.904506002,484740,frame-00005.png
6,0.350000024,16920102.973689400,469946,frame-00006.png
7,0.400000036,16920103.042533301,490879,frame-00007.png
8,0.450000048,16920103.119279802,483816,frame-00008.png
9,0.500000060,16920103.189282302,478094,frame-00009.png
10,0.550000072,16920103.258033998,482641,frame-00010.png
11,0.600000083,16920103.328366801,485340,frame-00011.png
12,0.650000095,16920103.400420502,484141,frame-00012.png
13,0.700000107,16920103.469241999,486329,frame-00013.png
14,0.750000119,16920103.534497399,470695,frame-00014.png
15,0.800000131,16920103.613625601,491836,frame-00015.png
16,0.850000143,16920103.684460301,483220,frame-00016.png
17,0.900000155,16920103.756002001,477682,frame-00017.png
18,0.950000167,16920103.826094601,482073,frame-00018.png
19,0.000000119,16920103.894491501,482250,frame-00019.png
20,0.050000120,16920103.963966001,481729,frame-00020.png
