frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920095.192977101,474353,frame-00000.png
1,0.100000001,16920095.262530301,478289,frame-00001.png
2,0.150000006,16920095.334933698,481407,frame-00002.png
3,0.200000003,16920095.415632199,479740,frame-00003.png
4,0.250000000,16920095.492883299,481471,frame-00004.png
5,0.300000012,16920095.572651200,465220,frame-00005.png
6,0.350000024,16920095.657251600,487882,frame-00006.png
7,0.400000036,16920095.732984200,479252,frame-00007.png
8,0.450000048,16920095.802784499,473760,frame-00008.png
9,0.500000060,16920095.871032398,477539,frame-00009.png
10,0.550000072,16920095.937305000,481127,frame-00010.png
11,0.600000083,16920096.007905100,479736,frame-00011.png
12,0.650000095,16920096.076863699,481358,frame-00012.png
13,0.700000107,16920096.148423702,465299,frame-00013.png
14,0.750000119,16920096.224393301,487925,frame-00014.png
15,0.800000131,16920096.296288699,479196,frame-00015.png
16,0.850000143,16920096.366181500,473469,frame-00016.png
17,0.900000155,16920096.432215199,476988,frame-00017.png
18,0.950000167,16920096.497030299,480915,frame-00018.png
19,1.000000119,16920096.561757199,479326,frame-00019.png
20,1.050000072,16920096.628879499,481093,frame-00020.png
21,1.100000024,16920096.692724500,464342,frame-00021.png
22,1.149999976,16920096.761966299,487519,frame-00022.png
23,1.199999928,16920096.832130399,479027,frame-00023.png
24,1.249999881,16920096.905120999,473180,frame-00024.png
25,1.299999833,16920096.974608399,477134,frame-00025.png
26,1.349999785,16920097.046176299,480479,frame-00026.png
27,1.399999738,16920097.114580199,478962,frame-00027.png
28,1.449999690,16920097.181938201,480765,frame-00028.png
29,1.499999642,16920097.249385901,464477,frame-00029.png
30,1.549999595,16920097.317934498,486629,frame-00030.png
31,1.599999547,16920097.384690899,478294,frame-00031.png
32,1.649999499,16920097.451442800,472763,frame-00032.png
33,1.699999452,16920097.517573200,476992,frame-00033.png
34,1.749999404,16920097.597870499,480126,frame-00034.png
35,1.799999356,16920097.674587701,478832,frame-00035.png
36,1.849999309,16920097.747891501,480799,frame-00036.png
37,1.899999261,16920097.815622501,464073,frame-00037.png
38,1.949999213,16920097.890270900,486446,frame-00038.png
39,1.999999166,16920097.967346702,478616,frame-00039.png
40,0.049999237,16920098.040106900,472818,frame-00040.png
