frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920098.184759799,474453,frame-00000.png
1,0.100000001,16920098.253114499,478799,frame-00001.png
2,0.150000006,16920098.318902001,482187,frame-00002.png
3,0.200000003,16920098.385076098,481307,frame-00003.png
4,0.250000000,16920098.449284699,482859,frame-00004.png
5,0.300000012,16920098.512366600,466866,frame-00005.png
6,0.350000024,16920098.582324300,488604,frame-00006.png
7,0.400000036,16920098.648268100,480323,frame-00007.png
8,0.450000048,16920098.714688800,474418,frame-00008.png
9,0.500000060,16920098.784957401,477906,frame-00009.png
10,0.550000072,16920098.857650399,481335,frame-00010.png
11,0.600000083,16920098.924808599,480378,frame-00011.png
12,0.650000095,16920098.991957199,483147,frame-00012.png
13,0.700000107,16920099.064214900,466341,frame-00013.png
14,0.750000119,16920099.137038302,488432,frame-00014.png
15,0.800000131,16920099.203404602,480283,frame-00015.png
16,0.850000143,16920099.269057501,474900,frame-00016.png
17,0.900000155,16920099.339476202,478395,frame-00017.png
18,0.950000167,16920099.407465700,481396,frame-00018.png
19,0.000000119,16920099.476049200,480493,frame-00019.png
20,0.050000120,16920099.548927601,481505,frame-00020.png
