frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920104.091374598,481316,frame-00000.png
1,0.100000001,16920104.174208000,483140,frame-00001.png
2,0.150000006,16920104.240068600,466442,frame-00002.png
3,0.200000003,16920104.306463901,487724,frame-00003.png
4,0.250000000,16920104.390464000,479087,frame-00004.png
5,0.300000012,16920104.467636101,473413,frame-00005.png
6,0.350000024,16920104.549379401,477291,frame-00006.png
7,0.400000036,16920104.626338501,480573,frame-00007.png
8,0.450000048,16920104.704093602,479711,frame-00008.png
9,0.500000060,16920104.771203000,480981,frame-00009.png
10,0.550000072,16920104.837092899,464783,frame-00010.png
11,0.600000083,16920104.904001299,486317,frame-00011.png
12,0.650000095,16920104.973905399,478311,frame-00012.png
13,0.700000107,16920105.046576299,472936,frame-00013.png
14,0.750000119,16920105.117270000,476716,frame-00014.png
15,0.800000131,16920105.184068300,479564,frame-00015.png
16,0.850000143,16920105.252766300,478902,frame-00016.png
17,0.900000155,16920105.324213799,480221,frame-00017.png
18,0.950000167,16920105.396688901,463953,frame-00018.png
19,1.000000119,16920105.472169500,485805,frame-00019.png
20,1.050000072,16920105.549634300,477920,frame-00020.png
21,1.100000024,16920105.624271300,472535,frame-00021.png
22,1.149999976,16920105.695818201,476117,frame-00022.png
23,1.199999928,16920105.766118798,479699,frame-00023.png
24,1.249999881,16920105.835212901,479626,frame-00024.png
25,1.299999833,16920105.900542799,481549,frame-00025.png
26,1.349999785,16920105.973278001,466687,frame-00026.png
27,1.399999738,16920106.045246899,488193,frame-00027.png
28,1.449999690,16920106.119603701,480210,frame-00028.png
29,1.499999642,16920106.189881701,474335,frame-00029.png
30,0.049999595,16920106.262693699,477915,frame-00030.png
