frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920112.694410700,478053,frame-00000.png
1,0.100000001,16920112.760359500,470377,frame-00001.png
2,0.150000006,16920112.826526899,475140,frame-00002.png
3,0.200000003,16920112.891809501,477301,frame-00003.png
4,0.250000000,16920112.961362898,476791,frame-00004.png
5,0.300000012,16920113.031158801,478708,frame-00005.png
6,0.350000024,16920113.097716901,464686,frame-00006.png
7,0.400000036,16920113.170407999,486233,frame-00007.png
8,0.450000048,16920113.238461200,477640,frame-00008.png
9,0.500000060,16920113.303824499,471119,frame-00009.png
10,0.000000060,16920113.383706700,476869,frame-00010.png
11,0.050000060,16920113.465493400,478261,frame-00011.png
