frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920110.793850299,465762,frame-00000.png
1,0.100000001,16920110.862174101,487040,frame-00001.png
2,0.150000006,16920110.928638600,478169,frame-00002.png
3,0.200000003,16920110.992502999,471315,frame-00003.png
4,0.250000000,16920111.058333699,476820,frame-00004.png
5,0.300000012,16920111.123217899,478346,frame-00005.png
6,0.350000024,16920111.187080398,477280,frame-00006.png
7,0.400000036,16920111.251730699,478981,frame-00007.png
8,0.450000048,16920111.313267101,464917,frame-00008.png
9,0.500000060,16920111.390287999,487230,frame-00009.png
10,0.550000072,16920111.460510001,477964,frame-00010.png
11,0.600000083,16920111.530706901,471567,frame-00011.png
12,0.650000095,16920111.601661101,477082,frame-00012.png
13,0.700000107,16920111.670536499,478895,frame-00013.png
14,0.750000119,16920111.738721099,478725,frame-00014.png
15,0.800000131,16920111.806425299,479367,frame-00015.png
16,0.850000143,16920111.873319801,465314,frame-00016.png
17,0.900000155,16920111.940141801,487384,frame-00017.png
18,0.950000167,16920112.009092100,477724,frame-00018.png
19,1.000000119,16920112.078570999,471074,frame-00019.png
20,1.050000072,16920112.149276000,476378,frame-00020.png
21,1.100000024,16920112.222821798,479068,frame-00021.png
22,1.149999976,16920112.295170698,478059,frame-00022.png
23,1.199999928,16920112.367937900,479288,frame-00023.png
24,1.249999881,16920112.435775299,465242,frame-00024.png
25,1.299999833,16920112.504886501,486429,frame-00025.png
26,0.049999833,16920112.571931001,478414,frame-00026.png
