frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920114.342485201,480407,frame-00000.png
1,0.100000001,16920114.411021400,479910,frame-00001.png
2,0.150000006,16920114.480123799,480589,frame-00002.png
3,0.200000003,16920114.550094899,467849,frame-00003.png
4,0.250000000,16920114.619902201,490090,frame-00004.png
5,0.300000012,16920114.688960500,482292,frame-00005.png
6,0.350000024,16920114.753095601,476711,frame-00006.png
7,0.400000036,16920114.823394600,482086,frame-00007.png
8,0.450000048,16920114.893168300,484442,frame-00008.png
9,0.500000060,16920114.972816601,484110,frame-00009.png
10,0.550000072,16920115.057689201,485372,frame-00010.png
11,0.600000083,16920115.135130901,471763,frame-00011.png
12,0.650000095,16920115.205268700,492682,frame-00012.png
13,0.700000107,16920115.274462402,484553,frame-00013.png
14,0.750000119,16920115.337200399,477655,frame-00014.png
15,0.800000131,16920115.400372900,482661,frame-00015.png
16,0.850000143,16920115.463513300,484381,frame-00016.png
17,0.900000155,16920115.528309401,483528,frame-00017.png
18,0.950000167,16920115.599482801,484359,frame-00018.png
19,0.000000119,16920115.669407502,468416,frame-00019.png
20,0.050000120,16920115.741968401,487904,frame-00020.png
