frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920106.395643398,477811,frame-00000.png
1,0.100000001,16920106.462671299,479768,frame-00001.png
2,0.150000006,16920106.531224899,478211,frame-00002.png
3,0.200000003,16920106.605021901,479282,frame-00003.png
4,0.250000000,16920106.684024200,465028,frame-00004.png
5,0.300000012,16920106.759249698,487023,frame-00005.png
6,0.350000024,16920106.834855799,477956,frame-00006.png
7,0.400000036,16920106.916148700,471581,frame-00007.png
8,0.450000048,16920106.985996999,476987,frame-00008.png
9,0.500000060,16920107.057457499,479144,frame-00009.png
10,0.550000072,16920107.125333499,477868,frame-00010.png
11,0.600000083,16920107.191934600,478868,frame-00011.png
12,0.650000095,16920107.262366898,464192,frame-00012.png
13,0.700000107,16920107.333799802,486727,frame-00013.png
14,0.750000119,16920107.401779201,477519,frame-00014.png
15,0.800000131,16920107.464041799,470773,frame-00015.png
16,0.850000143,16920107.530133199,475802,frame-00016.png
17,0.900000155,16920107.598976199,478496,frame-00017.png
18,0.950000167,16920107.666132599,477045,frame-00018.png
19,1.000000119,16920107.732592199,478607,frame-00019.png
20,1.050000072,16920107.800784599,463925,frame-00020.png
21,1.100000024,16920107.867270298,486431,frame-00021.png
22,1.149999976,16920107.938943900,477224,frame-00022.png
23,1.199999928,16920108.002185199,470428,frame-00023.png
24,1.249999881,16920108.066025399,476190,frame-00024.png
25,1.299999833,16920108.133109201,478476,frame-00025.png
26,1.349999785,16920108.200309500,476914,frame-00026.png
27,1.399999738,16920108.266664699,478400,frame-00027.png
28,1.449999690,16920108.333492499,463813,frame-00028.png
29,1.499999642,16920108.401427999,486332,frame-00029.png
30,1.549999595,16920108.470347501,476899,frame-00030.png
31,1.599999547,16920108.533593498,470510,frame-00031.png
32,1.649999499,16920108.598094799,475926,frame-00032.png
33,1.699999452,16920108.661515199,478044,frame-00033.png
34,1.749999404,16920108.728099700,476706,frame-00034.png
35,1.799999356,16920108.802492000,478221,frame-00035.png
36,1.849999309,16920108.875087898,463824,frame-00036.png
37,1.899999261,16920108.949593998,486100,frame-00037.png
38,1.949999213,16920109.027386799,477206,frame-00038.png
39,1.999999166,16920109.106937401,470370,frame-00039.png
40,0.049999237,16920109.186852802,475929,frame-00040.png
