frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920109.353532400,478485,frame-00000.png
1,0.100000001,16920109.425744601,480456,frame-00001.png
2,0.150000006,16920109.493666202,479662,frame-00002.png
3,0.200000003,16920109.558604799,480907,frame-00003.png
4,0.250000000,16920109.626774099,466967,frame-00004.png
5,0.300000012,16920109.693333000,488768,frame-00005.png
6,0.350000024,16920109.757756501,479584,frame-00006.png
7,0.400000036,16920109.823679999,472896,frame-00007.png
8,0.450000048,16920109.885685399,478189,frame-00008.png
9,0.500000060,16920109.952450700,479725,frame-00009.png
10,0.550000072,16920110.015712500,478898,frame-00010.png
11,0.600000083,16920110.083032701,480434,frame-00011.png
12,0.650000095,16920110.145974599,466425,frame-00012.png
13,0.700000107,16920110.209478900,489031,frame-00013.png
14,0.750000119,16920110.275365401,479673,frame-00014.png
15,0.800000131,16920110.348577101,472564,frame-00015.png
16,0.850000143,16920110.415595300,478547,frame-00016.png
17,0.900000155,16920110.487421401,480292,frame-00017.png
18,0.950000167,16920110.553401999,479056,frame-00018.png
19,0.000000119,16920110.617982399,479641,frame-00019.png
20,0.050000120,16920110.679795399,465656,frame-00020.png
