frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920115.907109302,487250,frame-00000.png
1,0.100000001,16920115.972540099,478300,frame-00001.png
2,0.150000006,16920116.035050999,471327,frame-00002.png
3,0.200000003,16920116.102743000,477076,frame-00003.png
4,0.250000000,16920116.168516599,478542,frame-00004.png
5,0.300000012,16920116.235723101,477544,frame-00005.png
6,0.350000024,16920116.302332699,478823,frame-00006.png
7,0.400000036,16920116.372150201,464761,frame-00007.png
8,0.450000048,16920116.436652899,486451,frame-00008.png
9,0.500000060,16920116.506108701,476864,frame-00009.png
10,0.550000072,16920116.576892700,470275,frame-00010.png
11,0.600000083,16920116.641553801,475469,frame-00011.png
12,0.650000095,16920116.705879200,477689,frame-00012.png
13,0.700000107,16920116.771850798,476601,frame-00013.png
14,0.750000119,16920116.835285801,477412,frame-00014.png
15,0.800000131,16920116.898344599,463479,frame-00015.png
16,0.850000143,16920116.965270199,485493,frame-00016.png
17,0.900000155,16920117.035209801,476006,frame-00017.png
18,0.950000167,16920117.102880299,469738,frame-00018.png
19,1.000000119,16920117.171126802,475050,frame-00019.png
20,1.050000072,16920117.237752698,477159,frame-00020.png
21,1.100000024,16920117.304708298,476092,frame-00021.png
22,1.149999976,16920117.370563298,477148,frame-00022.png
23,1.199999928,16920117.435057402,463767,frame-00023.png
24,1.249999881,16920117.506397799,486228,frame-00024.png
25,1.299999833,16920117.572216999,477230,frame-00025.png
26,1.349999785,16920117.641775999,470920,frame-00026.png
27,1.399999738,16920117.707240298,476599,frame-00027.png
28,1.449999690,16920117.780808501,479013,frame-00028.png
29,1.499999642,16920117.852798201,477597,frame-00029.png
30,0.049999595,16920117.924585499,478775,frame-00030.png
