frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919922.733470298,481123,frame-00000.png
1,0.100000001,16919922.801290300,504908,frame-00001.png
2,0.150000006,16919922.865620598,494854,frame-00002.png
3,0.200000003,16919922.932745598,489200,frame-00003.png
4,0.250000000,16919922.997899499,493453,frame-00004.png
5,0.300000012,16919923.064612702,495621,frame-00005.png
6,0.350000024,16919923.129927099,493503,frame-00006.png
7,0.400000036,16919923.195892699,494611,frame-00007.png
8,0.450000048,16919923.260146201,479621,frame-00008.png
9,0.500000060,16919923.325402699,502977,frame-00009.png
10,0.550000072,16919923.390360799,493931,frame-00010.png
11,0.600000083,16919923.457444601,488451,frame-00011.png
12,0.650000095,16919923.526793800,492248,frame-00012.png
13,0.000000119,16919923.597492900,495089,frame-00013.png
14,0.050000120,16919923.675495502,493792,frame-00014.png
