frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919921.654655699,490200,frame-00000.png
1,0.100000001,16919921.719274402,492711,frame-00001.png
2,0.150000006,16919921.790883899,495583,frame-00002.png
3,0.200000003,16919921.856490001,492825,frame-00003.png
4,0.250000000,16919921.925413799,492690,frame-00004.png
5,0.300000012,16919921.997910801,479096,frame-00005.png
6,0.350000024,16919922.073807798,502231,frame-00006.png
7,0.400000036,16919922.140848398,494166,frame-00007.png
8,0.450000048,16919922.211465500,488668,frame-00008.png
9,0.500000060,16919922.281609800,492562,frame-00009.png
10,0.550000072,16919922.351677399,495047,frame-00010.png
11,0.600000083,16919922.418991402,494305,frame-00011.png
12,0.000000119,16919922.486349002,495284,frame-00012.png
13,0.050000120,16919922.555111300,483156,frame-00013.png
