frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919924.464508802,495302,frame-00000.png
1,0.100000001,16919924.534223299,497029,frame-00001.png
2,0.150000006,16919924.605270199,481971,frame-00002.png
3,0.200000003,16919924.681009900,503602,frame-00003.png
4,0.250000000,16919924.747993201,494426,frame-00004.png
5,0.300000012,16919924.833015598,487311,frame-00005.png
6,0.350000024,16919924.912823800,491177,frame-00006.png
7,0.400000036,16919924.991448499,493014,frame-00007.png
8,0.450000048,16919925.063744199,492554,frame-00008.png
9,0.500000060,16919925.135929201,492914,frame-00009.png
10,0.550000072,16919925.203085501,479734,frame-00010.png
11,0.600000083,16919925.271340098,497725,frame-00011.png
12,0.650000095,16919925.336242400,489224,frame-00012.png
13,0.700000107,16919925.406885698,483264,frame-00013.png
14,0.750000119,16919925.478328899,487839,frame-00014.png
15,0.800000131,16919925.547593702,488786,frame-00015.png
16,0.850000143,16919925.619602401,487511,frame-00016.png
17,0.900000155,16919925.689494099,489091,frame-00017.png
18,0.950000167,16919925.762862898,473969,frame-00018.png
19,0.000000119,16919925.833321098,500792,frame-00019.png
20,0.050000120,16919925.903180499,496431,frame-00020.png
