frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919917.052621599,495453,frame-00000.png
1,0.100000001,16919917.127735000,479478,frame-00001.png
2,0.150000006,16919917.201722600,503357,frame-00002.png
3,0.200000003,16919917.272681799,493343,frame-00003.png
4,0.250000000,16919917.343752500,488416,frame-00004.png
5,0.300000012,16919917.409981702,491174,frame-00005.png
6,0.350000024,16919917.480266102,494188,frame-00006.png
7,0.400000036,16919917.548392199,493094,frame-00007.png
8,0.450000048,16919917.618219301,494553,frame-00008.png
9,0.500000060,16919917.692232002,479525,frame-00009.png
10,0.550000072,16919917.765250999,502945,frame-00010.png
11,0.600000083,16919917.835499600,493650,frame-00011.png
12,0.650000095,16919917.904503100,487961,frame-00012.png
13,0.700000107,16919917.976388201,491873,frame-00013.png
14,0.750000119,16919918.055378601,494305,frame-00014.png
15,0.800000131,16919918.131700300,492877,frame-00015.png
16,0.850000143,16919918.215093601,494289,frame-00016.png
17,0.900000155,16919918.293572798,479399,frame-00017.png
18,0.950000167,16919918.374720201,503529,frame-00018.png
19,1.000000119,16919918.455040999,493346,frame-00019.png
20,1.050000072,16919918.530684300,488587,frame-00020.png
21,1.100000024,16919918.610007498,491785,frame-00021.png
22,1.149999976,16919918.693126298,494726,frame-00022.png
23,1.199999928,16919918.769485399,492785,frame-00023.png
24,1.249999881,16919918.836721700,494515,frame-00024.png
25,1.299999833,16919918.903763700,479135,frame-00025.png
26,1.349999785,16919918.973848902,503350,frame-00026.png
27,1.399999738,16919919.044492502,492995,frame-00027.png
28,1.449999690,16919919.113916300,488120,frame-00028.png
29,1.499999642,16919919.184923999,491247,frame-00029.png
30,1.549999595,16919919.258598302,494481,frame-00030.png
31,1.599999547,16919919.330709200,492347,frame-00031.png
32,1.649999499,16919919.403310299,494215,frame-00032.png
33,1.699999452,16919919.474832401,478661,frame-00033.png
34,1.749999404,16919919.549621701,503411,frame-00034.png
35,1.799999356,16919919.626586001,493148,frame-00035.png
36,1.849999309,16919919.702243101,488358,frame-00036.png
37,1.899999261,16919919.775188100,491576,frame-00037.png
38,1.949999213,16919919.854567099,494164,frame-00038.png
39,1.999999166,16919919.930372499,492819,frame-00039.png
40,0.049999237,16919920.003264401,494139,frame-00040.png
