frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919920.128974099,495850,frame-00000.png
1,0.100000001,16919920.200961001,481524,frame-00001.png
2,0.150000006,16919920.268365800,503489,frame-00002.png
3,0.200000003,16919920.334733699,495088,frame-00003.png
4,0.250000000,16919920.405806400,490217,frame-00004.png
5,0.300000012,16919920.480381899,493686,frame-00005.png
6,0.350000024,16919920.549467199,495906,frame-00006.png
7,0.400000036,16919920.627161201,494531,frame-00007.png
8,0.450000048,16919920.706965901,495353,frame-00008.png
9,0.500000060,16919920.787329499,480980,frame-00009.png
10,0.550000072,16919920.855396900,503622,frame-00010.png
11,0.600000083,16919920.922973700,494939,frame-00011.png
12,0.650000095,16919920.992315300,490101,frame-00012.png
13,0.700000107,16919921.058518600,493795,frame-00013.png
14,0.750000119,16919921.129334699,495981,frame-00014.png
15,0.800000131,16919921.201868601,495022,frame-00015.png
16,0.850000143,16919921.270286098,495171,frame-00016.png
17,0.900000155,16919921.335633200,480783,frame-00017.png
18,0.950000167,16919921.403538302,503275,frame-00018.png
19,0.000000119,16919921.469901800,494600,frame-00019.png
20,0.050000120,16919921.538617101,488914,frame-00020.png
