frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919926.025741700,494892,frame-00000.png
1,0.100000001,16919926.094609998,490156,frame-00001.png
2,0.150000006,16919926.166712500,493343,frame-00002.png
3,0.200000003,16919926.239556700,495104,frame-00003.png
4,0.250000000,16919926.314325400,493199,frame-00004.png
5,0.300000012,16919926.384148601,495073,frame-00005.png
6,0.350000024,16919926.452435300,479965,frame-00006.png
7,0.400000036,16919926.524745200,501884,frame-00007.png
8,0.450000048,16919926.593513899,493020,frame-00008.png
9,0.500000060,16919926.663258199,487430,frame-00009.png
10,0.550000072,16919926.740175299,491744,frame-00010.png
11,0.600000083,16919926.810276899,493070,frame-00011.png
12,0.650000095,16919926.892221998,492222,frame-00012.png
13,0.700000107,16919926.970002700,493498,frame-00013.png
14,0.750000119,16919927.050032102,479345,frame-00014.png
15,0.800000131,16919927.129225299,501374,frame-00015.png
16,0.850000143,16919927.205939502,492035,frame-00016.png
17,0.900000155,16919927.287910499,487268,frame-00017.png
18,0.950000167,16919927.368599098,491135,frame-00018.png
19,1.000000119,16919927.440081000,493448,frame-00019.png
20,1.050000072,16919927.514315300,491822,frame-00020.png
21,1.100000024,16919927.582344800,493300,frame-00021.png
22,1.149999976,16919927.653963700,479422,frame-00022.png
23,1.199999928,16919927.731220301,502233,frame-00023.png
24,1.249999881,16919927.810407501,493211,frame-00024.png
25,1.299999833,16919927.882623799,488438,frame-00025.png
26,1.349999785,16919927.954697099,492560,frame-00026.png
27,1.399999738,16919928.021613300,494998,frame-00027.png
28,1.449999690,16919928.092076998,493532,frame-00028.png
29,1.499999642,16919928.162686601,495096,frame-00029.png
30,0.049999595,16919928.230644401,480526,frame-00030.png
