frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920016.392634202,507928,frame-00000.png
1,0.100000001,16920016.460021399,498631,frame-00001.png
2,0.150000006,16920016.527055100,491451,frame-00002.png
3,0.200000003,16920016.593897600,495059,frame-00003.png
4,0.250000000,16920016.664671902,498955,frame-00004.png
5,0.300000012,16920016.735948998,496653,frame-00005.png
6,0.350000024,16920016.808098700,498209,frame-00006.png
7,0.400000036,16920016.884797100,484581,frame-00007.png
8,0.450000048,16920016.958109800,507410,frame-00008.png
9,0.500000060,16920017.047586400,498629,frame-00009.png
10,0.550000072,16920017.137039300,492258,frame-00010.png
11,0.600000083,16920017.217687301,496760,frame-00011.png
12,0.000000119,16920017.305082399,500542,frame-00012.png
13,0.050000120,16920017.390696499,497831,frame-00013.png
