frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920015.268377598,493221,frame-00000.png
1,0.100000001,16920015.340858102,496413,frame-00001.png
2,0.150000006,16920015.412308101,500196,frame-00002.png
3,0.200000003,16920015.479437198,497251,frame-00003.png
4,0.250000000,16920015.548816498,499324,frame-00004.png
5,0.300000012,16920015.619200502,485353,frame-00005.png
6,0.350000024,16920015.690559801,508452,frame-00006.png
7,0.400000036,16920015.762150601,499135,frame-00007.png
8,0.450000048,16920015.829913501,492829,frame-00008.png
9,0.500000060,16920015.904765598,496408,frame-00009.png
10,0.550000072,16920015.977507401,500092,frame-00010.png
11,0.600000083,16920016.046975199,497078,frame-00011.png
12,0.650000095,16920016.117511399,498782,frame-00012.png
13,0.000000119,16920016.192036301,483674,frame-00013.png
14,0.050000120,16920016.266213302,507677,frame-00014.png
