frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920018.292054601,500813,frame-00000.png
1,0.100000001,16920018.359218001,501851,frame-00001.png
2,0.150000006,16920018.431895401,486821,frame-00002.png
3,0.200000003,16920018.502677299,509402,frame-00003.png
4,0.250000000,16920018.573048700,501450,frame-00004.png
5,0.300000012,16920018.640194900,495404,frame-00005.png
6,0.350000024,16920018.708528899,501408,frame-00006.png
7,0.400000036,16920018.775834400,505743,frame-00007.png
8,0.450000048,16920018.847306099,502665,frame-00008.png
9,0.500000060,16920018.916501101,503339,frame-00009.png
10,0.550000072,16920018.992241599,488536,frame-00010.png
11,0.600000083,16920019.062042002,507978,frame-00011.png
12,0.650000095,16920019.131950799,498365,frame-00012.png
13,0.700000107,16920019.199253701,491140,frame-00013.png
14,0.750000119,16920019.272217799,494588,frame-00014.png
15,0.800000131,16920019.342865098,496867,frame-00015.png
16,0.850000143,16920019.415640600,494361,frame-00016.png
17,0.900000155,16920019.485321701,496068,frame-00017.png
18,0.950000167,16920019.559925299,481589,frame-00018.png
19,0.000000119,16920019.630014300,507178,frame-00019.png
20,0.050000120,16920019.708462801,502545,frame-00020.png
