frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920010.536012702,499875,frame-00000.png
1,0.100000001,16920010.607431799,483715,frame-00001.png
2,0.150000006,16920010.687406600,507288,frame-00002.png
3,0.200000003,16920010.768344600,497834,frame-00003.png
4,0.250000000,16920010.839979500,492164,frame-00004.png
5,0.300000012,16920010.911670402,495366,frame-00005.png
6,0.350000024,16920010.983612400,499639,frame-00006.png
7,0.400000036,16920011.055769399,497704,frame-00007.png
8,0.450000048,16920011.123797901,498417,frame-00008.png
9,0.500000060,16920011.191216201,483688,frame-00009.png
10,0.550000072,16920011.265790898,507410,frame-00010.png
11,0.600000083,16920011.332776200,497904,frame-00011.png
12,0.650000095,16920011.399387900,491515,frame-00012.png
13,0.700000107,16920011.475269299,494945,frame-00013.png
14,0.750000119,16920011.545140799,499293,frame-00014.png
15,0.800000131,16920011.616975501,496340,frame-00015.png
16,0.850000143,16920011.686812300,497680,frame-00016.png
17,0.900000155,16920011.755812000,483394,frame-00017.png
18,0.950000167,16920011.821727701,507723,frame-00018.png
19,1.000000119,16920011.889389899,497423,frame-00019.png
20,1.050000072,16920011.955490101,492144,frame-00020.png
21,1.100000024,16920012.022492498,495603,frame-00021.png
22,1.149999976,16920012.094063699,499679,frame-00022.png
23,1.199999928,16920012.170279499,496790,frame-00023.png
24,1.249999881,16920012.239425000,497952,frame-00024.png
25,1.299999833,16920012.309687201,482999,frame-00025.png
26,1.349999785,16920012.395224702,507030,frame-00026.png
27,1.399999738,16920012.475355200,497529,frame-00027.png
28,1.449999690,16920012.553345300,491393,frame-00028.png
29,1.499999642,16920012.644129999,495045,frame-00029.png
30,1.549999595,16920012.733730901,499267,frame-00030.png
31,1.599999547,16920012.809844401,496789,frame-00031.png
32,1.649999499,16920012.881441198,497888,frame-00032.png
33,1.699999452,16920012.950632699,482944,frame-00033.png
34,1.749999404,16920013.021834899,506986,frame-00034.png
35,1.799999356,16920013.092880100,497087,frame-00035.png
36,1.849999309,16920013.164743502,491479,frame-00036.png
37,1.899999261,16920013.233939499,494976,frame-00037.png
38,1.949999213,16920013.301483199,499317,frame-00038.png
39,1.999999166,16920013.369522300,496098,frame-00039.png
40,0.049999237,16920013.440459400,497622,frame-00040.png
