frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920019.900490999,499808,frame-00000.png
1,0.100000001,16920019.976782199,493131,frame-00001.png
2,0.150000006,16920020.050821200,496164,frame-00002.png
3,0.200000003,16920020.121087801,499966,frame-00003.png
4,0.250000000,16920020.191605099,497219,frame-00004.png
5,0.300000012,16920020.264510300,498940,frame-00005.png
6,0.350000024,16920020.339130599,484520,frame-00006.png
7,0.400000036,16920020.415420100,506880,frame-00007.png
8,0.450000048,16920020.492885500,498102,frame-00008.png
9,0.500000060,16920020.567337599,491287,frame-00009.png
10,0.550000072,16920020.651317000,495046,frame-00010.png
11,0.600000083,16920020.733279198,498666,frame-00011.png
12,0.650000095,16920020.807110399,495895,frame-00012.png
13,0.700000107,16920020.882459398,498263,frame-00013.png
14,0.750000119,16920020.950216498,482799,frame-00014.png
15,0.800000131,16920021.019985300,506277,frame-00015.png
16,0.850000143,16920021.087450001,496559,frame-00016.png
17,0.900000155,16920021.155906700,490558,frame-00017.png
18,0.950000167,16920021.228673398,494713,frame-00018.png
19,1.000000119,16920021.300332099,498227,frame-00019.png
20,1.050000072,16920021.369276799,496052,frame-00020.png
21,1.100000024,16920021.438437600,498080,frame-00021.png
22,1.149999976,16920021.503793001,483849,frame-00022.png
23,1.199999928,16920021.574144401,506537,frame-00023.png
24,1.249999881,16920021.650502902,497884,frame-00024.png
25,1.299999833,16920021.722400099,492180,frame-00025.png
26,1.349999785,16920021.809583198,495881,frame-00026.png
27,1.399999738,16920021.897478499,500147,frame-00027.png
28,1.449999690,16920021.983329698,497273,frame-00028.png
29,1.499999642,16920022.069759600,499294,frame-00029.png
30,0.049999595,16920022.152939700,484142,frame-00030.png
