frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919934.090812702,492737,frame-00000.png
1,0.100000001,16919934.168521799,485431,frame-00001.png
2,0.150000006,16919934.232878000,489794,frame-00002.png
3,0.200000003,16919934.303811900,492815,frame-00003.png
4,0.250000000,16919934.373552799,492398,frame-00004.png
5,0.300000012,16919934.443835098,495377,frame-00005.png
6,0.350000024,16919934.512436401,482899,frame-00006.png
7,0.400000036,16919934.586242899,502469,frame-00007.png
8,0.450000048,16919934.656497002,494108,frame-00008.png
9,0.500000060,16919934.733226601,486658,frame-00009.png
10,0.550000072,16919934.807562198,490928,frame-00010.png
11,0.600000083,16919934.876637500,494175,frame-00011.png
12,0.000000119,16919934.943436898,491250,frame-00012.png
13,0.050000120,16919935.017345600,493006,frame-00013.png
