frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919932.911186900,491038,frame-00000.png
1,0.100000001,16919932.979628298,493927,frame-00001.png
2,0.150000006,16919933.048318502,491184,frame-00002.png
3,0.200000003,16919933.119503900,493495,frame-00003.png
4,0.250000000,16919933.187515099,481919,frame-00004.png
5,0.300000012,16919933.261223499,502233,frame-00005.png
6,0.350000024,16919933.330202501,494397,frame-00006.png
7,0.400000036,16919933.396629300,487414,frame-00007.png
8,0.450000048,16919933.465840399,491600,frame-00008.png
9,0.500000060,16919933.538881600,494671,frame-00009.png
10,0.550000072,16919933.606755000,492096,frame-00010.png
11,0.600000083,16919933.688589700,493839,frame-00011.png
12,0.650000095,16919933.768121202,478438,frame-00012.png
13,0.000000119,16919933.849963401,499494,frame-00013.png
14,0.050000120,16919933.925099999,491914,frame-00014.png
