frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919935.823779199,495078,frame-00000.png
1,0.100000001,16919935.889995299,480920,frame-00001.png
2,0.150000006,16919935.959906600,501975,frame-00002.png
3,0.200000003,16919936.031064600,494957,frame-00003.png
4,0.250000000,16919936.104033601,490156,frame-00004.png
5,0.300000012,16919936.173229001,494521,frame-00005.png
6,0.350000024,16919936.242316399,498772,frame-00006.png
7,0.400000036,16919936.312087499,497495,frame-00007.png
8,0.450000048,16919936.380221099,498377,frame-00008.png
9,0.500000060,16919936.457761399,483577,frame-00009.png
10,0.550000072,16919936.529805198,500503,frame-00010.png
11,0.600000083,16919936.603858799,492194,frame-00011.png
12,0.650000095,16919936.675793499,484843,frame-00012.png
13,0.700000107,16919936.753624700,488120,frame-00013.png
14,0.750000119,16919936.831613898,490858,frame-00014.png
15,0.800000131,16919936.916180100,489070,frame-00015.png
16,0.850000143,16919936.996671699,490267,frame-00016.png
17,0.900000155,16919937.060993500,474882,frame-00017.png
18,0.950000167,16919937.131422400,495681,frame-00018.png
19,0.000000119,16919937.201244999,494183,frame-00019.png
20,0.050000120,16919937.268581901,488980,frame-00020.png
