frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919928.351390202,478252,frame-00000.png
1,0.100000001,16919928.419680301,500115,frame-00001.png
2,0.150000006,16919928.489367999,491926,frame-00002.png
3,0.200000003,16919928.556290399,485812,frame-00003.png
4,0.250000000,16919928.623645000,490072,frame-00004.png
5,0.300000012,16919928.694038998,494469,frame-00005.png
6,0.350000024,16919928.771466501,491555,frame-00006.png
7,0.400000036,16919928.837162301,493043,frame-00007.png
8,0.450000048,16919928.904734202,477437,frame-00008.png
9,0.500000060,16919928.975972001,499303,frame-00009.png
10,0.550000072,16919929.048902899,491028,frame-00010.png
11,0.600000083,16919929.116482001,486218,frame-00011.png
12,0.650000095,16919929.188012801,489897,frame-00012.png
13,0.700000107,16919929.270654399,493478,frame-00013.png
14,0.750000119,16919929.353908200,491377,frame-00014.png
15,0.800000131,16919929.436353698,493317,frame-00015.png
16,0.850000143,16919929.515646201,477202,frame-00016.png
17,0.900000155,16919929.594914101,499575,frame-00017.png
18,0.950000167,16919929.663351599,491107,frame-00018.png
19,1.000000119,16919929.734737199,485150,frame-00019.png
20,1.050000072,16919929.806246199,489247,frame-00020.png
21,1.100000024,16919929.877765998,493410,frame-00021.png
22,1.149999976,16919929.948597100,490522,frame-00022.png
23,1.199999928,16919930.016782701,492473,frame-00023.png
24,1.249999881,16919930.083048500,477131,frame-00024.png
25,1.299999833,16919930.148848899,499006,frame-00025.png
26,1.349999785,16919930.215647001,491077,frame-00026.png
27,1.399999738,16919930.281816099,484904,frame-00027.png
28,1.449999690,16919930.348614801,489110,frame-00028.png
29,1.499999642,16919930.422334000,492861,frame-00029.png
30,1.549999595,16919930.497828700,490339,frame-00030.png
31,1.599999547,16919930.569667701,492009,frame-00031.png
32,1.649999499,16919930.635228600,476431,frame-00032.png
33,1.699999452,16919930.707492799,498675,frame-00033.png
34,1.749999404,16919930.775272999,490468,frame-00034.png
35,1.799999356,16919930.841648601,484515,frame-00035.png
36,1.849999309,16919930.912816301,488544,frame-00036.png
37,1.899999261,16919930.984293699,493179,frame-00037.png
38,1.949999213,16919931.054897100,490404,frame-00038.png
39,1.999999166,16919931.128527999,492698,frame-00039.png
40,0.049999237,16919931.193085399,476357,frame-00040.png
