frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919931.318450298,478604,frame-00000.png
1,0.100000001,16919931.387305401,499934,frame-00001.png
2,0.150000006,16919931.473239399,493245,frame-00002.png
3,0.200000003,16919931.555468801,486980,frame-00003.png
4,0.250000000,16919931.636646502,491201,frame-00004.png
5,0.300000012,16919931.719032899,494378,frame-00005.png
6,0.350000024,16919931.800926398,492813,frame-00006.png
7,0.400000036,16919931.875507399,493522,frame-00007.png
8,0.450000048,16919931.954894301,478971,frame-00008.png
9,0.500000060,16919932.026721101,499034,frame-00009.png
10,0.550000072,16919932.092529800,492350,frame-00010.png
11,0.600000083,16919932.167119600,486051,frame-00011.png
12,0.650000095,16919932.235988200,491499,frame-00012.png
13,0.700000107,16919932.306674000,493895,frame-00013.png
14,0.750000119,16919932.380392302,492764,frame-00014.png
15,0.800000131,16919932.449239898,494565,frame-00015.png
16,0.850000143,16919932.517324701,479715,frame-00016.png
17,0.900000155,16919932.585601401,499374,frame-00017.png
18,0.950000167,16919932.653003499,492571,frame-00018.png
19,0.000000119,16919932.720770601,485273,frame-00019.png
20,0.050000120,16919932.788959201,490260,frame-00020.png
