frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919937.391153999,487439,frame-00000.png
1,0.100000001,16919937.458591599,491041,frame-00001.png
2,0.150000006,16919937.533329301,493314,frame-00002.png
3,0.200000003,16919937.603512902,490794,frame-00003.png
4,0.250000000,16919937.673031300,492410,frame-00004.png
5,0.300000012,16919937.747309700,477257,frame-00005.png
6,0.350000024,16919937.815388601,498180,frame-00006.png
7,0.400000036,16919937.886851601,490993,frame-00007.png
8,0.450000048,16919937.955579299,484204,frame-00008.png
9,0.500000060,16919938.022445399,488291,frame-00009.png
10,0.550000072,16919938.090543799,492470,frame-00010.png
11,0.600000083,16919938.159481801,490077,frame-00011.png
12,0.650000095,16919938.225460399,491436,frame-00012.png
13,0.700000107,16919938.291858502,475739,frame-00013.png
14,0.750000119,16919938.359261900,496896,frame-00014.png
15,0.800000131,16919938.424732201,489558,frame-00015.png
16,0.850000143,16919938.490676198,482888,frame-00016.png
17,0.900000155,16919938.559217900,487469,frame-00017.png
18,0.950000167,16919938.627042200,491314,frame-00018.png
19,1.000000119,16919938.699070700,489327,frame-00019.png
20,1.050000072,16919938.768318500,491362,frame-00020.png
21,1.100000024,16919938.849217899,476198,frame-00021.png
22,1.149999976,16919938.930140998,497456,frame-00022.png
23,1.199999928,16919939.012407199,490248,frame-00023.png
24,1.249999881,16919939.090220802,484068,frame-00024.png
25,1.299999833,16919939.167470001,488748,frame-00025.png
26,1.349999785,16919939.248373002,493042,frame-00026.png
27,1.399999738,16919939.322819699,491112,frame-00027.png
28,1.449999690,16919939.399717499,493647,frame-00028.png
29,1.499999642,16919939.477302998,479365,frame-00029.png
30,0.049999595,16919939.557014599,499310,frame-00030.png
