frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919944.223929800,494886,frame-00000.png
1,0.100000001,16919944.290238898,493524,frame-00001.png
2,0.150000006,16919944.362879202,492018,frame-00002.png
3,0.200000003,16919944.432619199,478588,frame-00003.png
4,0.250000000,16919944.500137500,499266,frame-00004.png
5,0.300000012,16919944.570677198,488860,frame-00005.png
6,0.350000024,16919944.637868602,482741,frame-00006.png
7,0.400000036,16919944.705039300,488652,frame-00007.png
8,0.450000048,16919944.774036098,492666,frame-00008.png
9,0.500000060,16919944.841911901,492476,frame-00009.png
10,0.550000072,16919944.913410101,494467,frame-00010.png
11,0.600000083,16919944.980744101,481725,frame-00011.png
12,0.650000095,16919945.050097302,502156,frame-00012.png
13,0.700000107,16919945.116136100,492667,frame-00013.png
14,0.000000119,16919945.188218702,488467,frame-00014.png
15,0.050000120,16919945.256440300,491868,frame-00015.png
