frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919947.200751498,494417,frame-00000.png
1,0.100000001,16919947.266747501,489569,frame-00001.png
2,0.150000006,16919947.332337901,492259,frame-00002.png
3,0.200000003,16919947.402833700,494656,frame-00003.png
4,0.250000000,16919947.467887100,491179,frame-00004.png
5,0.300000012,16919947.534668598,492378,frame-00005.png
6,0.350000024,16919947.600872800,479543,frame-00006.png
7,0.400000036,16919947.667913701,497257,frame-00007.png
8,0.450000048,16919947.734900001,489091,frame-00008.png
9,0.500000060,16919947.800887998,482372,frame-00009.png
10,0.550000072,16919947.865550000,483606,frame-00010.png
11,0.600000083,16919947.934000898,485147,frame-00011.png
12,0.650000095,16919947.998369500,482445,frame-00012.png
13,0.700000107,16919948.063537501,483491,frame-00013.png
14,0.750000119,16919948.128830500,469795,frame-00014.png
15,0.800000131,16919948.193438400,489806,frame-00015.png
16,0.850000143,16919948.257669002,481194,frame-00016.png
17,0.900000155,16919948.322505400,475869,frame-00017.png
18,0.950000167,16919948.390587699,479135,frame-00018.png
19,0.000000119,16919948.467701100,493640,frame-00019.png
20,0.050000120,16919948.544401899,494939,frame-00020.png
