frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919939.683394801,501912,frame-00000.png
1,0.100000001,16919939.750654999,491869,frame-00001.png
2,0.150000006,16919939.821228899,486653,frame-00002.png
3,0.200000003,16919939.887195598,489822,frame-00003.png
4,0.250000000,16919939.954720199,493073,frame-00004.png
5,0.300000012,16919940.027508400,490141,frame-00005.png
6,0.350000024,16919940.096464001,492823,frame-00006.png
7,0.400000036,16919940.163950101,478315,frame-00007.png
8,0.450000048,16919940.238704901,501780,frame-00008.png
9,0.500000060,16919940.311575700,490712,frame-00009.png
10,0.550000072,16919940.381535601,486381,frame-00010.png
11,0.600000083,16919940.450704198,489393,frame-00011.png
12,0.650000095,16919940.517710101,492520,frame-00012.png
13,0.700000107,16919940.587524101,490289,frame-00013.png
14,0.750000119,16919940.656732399,491754,frame-00014.png
15,0.800000131,16919940.724665701,477047,frame-00015.png
16,0.850000143,16919940.795411300,500735,frame-00016.png
17,0.900000155,16919940.865299702,490537,frame-00017.png
18,0.950000167,16919940.931233998,485940,frame-00018.png
19,1.000000119,16919940.997832701,489368,frame-00019.png
20,1.050000072,16919941.066833001,492560,frame-00020.png
21,1.100000024,16919941.133454300,490540,frame-00021.png
22,1.149999976,16919941.198994599,491804,frame-00022.png
23,1.199999928,16919941.268284399,477471,frame-00023.png
24,1.249999881,16919941.339730199,500236,frame-00024.png
25,1.299999833,16919941.406957600,490785,frame-00025.png
26,1.349999785,16919941.484470401,485751,frame-00026.png
27,1.399999738,16919941.562676501,489160,frame-00027.png
28,1.449999690,16919941.643515099,492148,frame-00028.png
29,1.499999642,16919941.726753701,490109,frame-00029.png
30,1.549999595,16919941.800502598,491508,frame-00030.png
31,1.599999547,16919941.870058302,476801,frame-00031.png
32,1.649999499,16919941.946160700,499566,frame-00032.png
33,1.699999452,16919942.025505401,490132,frame-00033.png
34,1.749999404,16919942.102110401,485575,frame-00034.png
35,1.799999356,16919942.184370000,488839,frame-00035.png
36,1.849999309,16919942.260830700,491862,frame-00036.png
37,1.899999261,16919942.332335599,490041,frame-00037.png
38,1.949999213,16919942.410823200,491364,frame-00038.png
39,1.999999166,16919942.479830299,476764,frame-00039.png
40,0.049999237,16919942.547639199,500015,frame-00040.png
