frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919942.669418398,500426,frame-00000.png
1,0.100000001,16919942.737447798,492210,frame-00001.png
2,0.150000006,16919942.805127501,488234,frame-00002.png
3,0.200000003,16919942.878092200,491769,frame-00003.png
4,0.250000000,16919942.951341599,494455,frame-00004.png
5,0.300000012,16919943.023272902,492496,frame-00005.png
6,0.350000024,16919943.092988301,493761,frame-00006.png
7,0.400000036,16919943.159280699,479097,frame-00007.png
8,0.450000048,16919943.234308999,500366,frame-00008.png
9,0.500000060,16919943.303817701,491505,frame-00009.png
10,0.550000072,16919943.373621400,487480,frame-00010.png
11,0.600000083,16919943.444303699,491221,frame-00011.png
12,0.650000095,16919943.518550199,493941,frame-00012.png
13,0.700000107,16919943.594904099,492651,frame-00013.png
14,0.750000119,16919943.667507701,494038,frame-00014.png
15,0.800000131,16919943.740429901,480273,frame-00015.png
16,0.850000143,16919943.811006401,501269,frame-00016.png
17,0.900000155,16919943.876796000,492091,frame-00017.png
18,0.950000167,16919943.944093700,486506,frame-00018.png
19,0.000000119,16919944.010844599,490347,frame-00019.png
20,0.050000120,16919944.086711898,492880,frame-00020.png
