frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919948.670791399,493452,frame-00000.png
1,0.100000001,16919948.741254501,494833,frame-00001.png
2,0.150000006,16919948.812907100,481163,frame-00002.png
3,0.200000003,16919948.886447601,502878,frame-00003.png
4,0.250000000,16919948.957518801,493303,frame-00004.png
5,0.300000012,16919949.024541002,487820,frame-00005.png
6,0.350000024,16919949.092853200,491142,frame-00006.png
7,0.400000036,16919949.160968300,493287,frame-00007.png
8,0.450000048,16919949.226902802,491487,frame-00008.png
9,0.500000060,16919949.292969901,493570,frame-00009.png
10,0.550000072,16919949.357118100,479515,frame-00010.png
11,0.600000083,16919949.425592601,499961,frame-00011.png
12,0.650000095,16919949.491417900,491149,frame-00012.png
13,0.700000107,16919949.558421999,486424,frame-00013.png
14,0.750000119,16919949.626306299,489436,frame-00014.png
15,0.800000131,16919949.698441502,492040,frame-00015.png
16,0.850000143,16919949.770424001,489961,frame-00016.png
17,0.900000155,16919949.837059300,491936,frame-00017.png
18,0.950000167,16919949.913821999,478216,frame-00018.png
19,1.000000119,16919949.979990900,500189,frame-00019.png
20,1.050000072,16919950.053635601,491446,frame-00020.png
21,1.100000024,16919950.124971502,487163,frame-00021.png
22,1.149999976,16919950.195278499,490693,frame-00022.png
23,1.199999928,16919950.265861802,493570,frame-00023.png
24,1.249999881,16919950.335451599,492059,frame-00024.png
25,1.299999833,16919950.406487700,494234,frame-00025.png
26,1.349999785,16919950.478276402,480696,frame-00026.png
27,1.399999738,16919950.553537600,502634,frame-00027.png
28,1.449999690,16919950.634680200,492927,frame-00028.png
29,1.499999642,16919950.713156600,488243,frame-00029.png
30,0.049999595,16919950.788824402,491027,frame-00030.png
