frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920004.801838201,494705,frame-00000.png
1,0.100000001,16920004.872471001,479872,frame-00001.png
2,0.150000006,16920004.947317898,494426,frame-00002.png
3,0.200000003,16920005.017739799,488269,frame-00003.png
4,0.250000000,16920005.086540401,481913,frame-00004.png
5,0.300000012,16920005.156332199,486763,frame-00005.png
6,0.350000024,16920005.236129198,489098,frame-00006.png
7,0.400000036,16920005.305878900,487487,frame-00007.png
8,0.450000048,16920005.370631900,490306,frame-00008.png
9,0.500000060,16920005.437583700,479538,frame-00009.png
10,0.550000072,16920005.514613200,499504,frame-00010.png
11,0.600000083,16920005.592731901,494008,frame-00011.png
12,0.650000095,16920005.680777200,490539,frame-00012.png
13,0.000000119,16920005.768367600,494215,frame-00013.png
14,0.050000120,16920005.844778098,495166,frame-00014.png
