frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920003.670704801,502854,frame-00000.png
1,0.100000001,16920003.755552601,495193,frame-00001.png
2,0.150000006,16920003.823809199,489128,frame-00002.png
3,0.200000003,16920003.891961399,493389,frame-00003.png
4,0.250000000,16920003.961334001,496407,frame-00004.png
5,0.300000012,16920004.031320501,495250,frame-00005.png
6,0.350000024,16920004.105811998,496655,frame-00006.png
7,0.400000036,16920004.173717301,483737,frame-00007.png
8,0.450000048,16920004.241513599,503300,frame-00008.png
9,0.500000060,16920004.309566401,495544,frame-00009.png
10,0.550000072,16920004.377363101,490149,frame-00010.png
11,0.600000083,16920004.448789500,493316,frame-00011.png
12,0.650000095,16920004.521195799,495868,frame-00012.png
13,0.000000119,16920004.595870201,494071,frame-00013.png
14,0.050000120,16920004.670563601,495559,frame-00014.png
