frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920002.078198500,496160,frame-00000.png
1,0.100000001,16920002.150463901,496783,frame-00001.png
2,0.150000006,16920002.230704401,497602,frame-00002.png
3,0.200000003,16920002.303117700,485772,frame-00003.png
4,0.250000000,16920002.379314300,505386,frame-00004.png
5,0.300000012,16920002.447499301,498038,frame-00005.png
6,0.350000024,16920002.513201099,491286,frame-00006.png
7,0.400000036,16920002.583267499,495712,frame-00007.png
8,0.450000048,16920002.653739899,497124,frame-00008.png
9,0.500000060,16920002.729992401,495596,frame-00009.png
10,0.550000072,16920002.807844002,497014,frame-00010.png
11,0.600000083,16920002.876300801,485338,frame-00011.png
12,0.650000095,16920002.944868501,505569,frame-00012.png
13,0.700000107,16920003.013477702,498952,frame-00013.png
14,0.750000119,16920003.081665099,492071,frame-00014.png
15,0.800000131,16920003.151819799,496140,frame-00015.png
16,0.850000143,16920003.222420000,498139,frame-00016.png
17,0.900000155,16920003.293970801,496073,frame-00017.png
18,0.950000167,16920003.361420501,496887,frame-00018.png
19,0.000000119,16920003.427808601,483774,frame-00019.png
20,0.050000120,16920003.501582801,503361,frame-00020.png
