frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16920008.203968301,503379,frame-00000.png
1,0.100000001,16920008.272787299,495162,frame-00001.png
2,0.150000006,16920008.341040902,489623,frame-00002.png
3,0.200000003,16920008.405901100,493116,frame-00003.png
4,0.250000000,16920008.472554401,495230,frame-00004.png
5,0.300000012,16920008.539499901,493087,frame-00005.png
6,0.350000024,16920008.608903602,493900,frame-00006.png
7,0.400000036,16920008.681908201,481636,frame-00007.png
8,0.450000048,16920008.756368000,499428,frame-00008.png
9,0.500000060,16920008.827874102,492538,frame-00009.png
10,0.550000072,16920008.895247299,486802,frame-00010.png
11,0.600000083,16920008.966661401,490766,frame-00011.png
12,0.650000095,16920009.033445500,492841,frame-00012.png
13,0.700000107,16920009.102741301,491225,frame-00013.png
14,0.750000119,16920009.170143001,492184,frame-00014.png
15,0.800000131,16920009.238192201,479137,frame-00015.png
16,0.850000143,16920009.307213400,497983,frame-00016.png
17,0.900000155,16920009.376867101,491810,frame-00017.png
18,0.950000167,16920009.449239802,486336,frame-00018.png
19,1.000000119,16920009.516626000,490589,frame-00019.png
20,1.050000072,16920009.592672698,493331,frame-00020.png
21,1.100000024,16920009.667684302,491626,frame-00021.png
22,1.149999976,16920009.743706301,493491,frame-00022.png
23,1.199999928,16920009.819826402,482056,frame-00023.png
24,1.249999881,16920009.894717999,500567,frame-00024.png
25,1.299999833,16920009.961949501,493564,frame-00025.png
26,1.349999785,16920010.037702400,488992,frame-00026.png
27,1.399999738,16920010.116037201,493026,frame-00027.png
28,1.449999690,16920010.198162299,495377,frame-00028.png
29,1.499999642,16920010.275736298,494183,frame-00029.png
30,0.049999595,16920010.349096298,495122,frame-00030.png
