frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919899.888825100,487188,frame-00000.png
1,0.100000001,16919899.955997098,489006,frame-00001.png
2,0.150000006,16919900.021172300,475508,frame-00002.png
3,0.200000003,16919900.086867601,495044,frame-00003.png
4,0.250000000,16919900.151101202,489081,frame-00004.png
5,0.300000012,16919900.213966399,484141,frame-00005.png
6,0.350000024,16919900.279578999,489931,frame-00006.png
7,0.400000036,16919900.347255200,491507,frame-00007.png
8,0.450000048,16919900.415864099,488964,frame-00008.png
9,0.500000060,16919900.482257601,489500,frame-00009.png
10,0.550000072,16919900.552062199,474772,frame-00010.png
11,0.600000083,16919900.617411200,494413,frame-00011.png
12,0.000000119,16919900.695928100,487411,frame-00012.png
13,0.050000120,16919900.770981900,481459,frame-00013.png
