frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919898.852863800,473715,frame-00000.png
1,0.100000001,16919898.920629598,493637,frame-00001.png
2,0.150000006,16919898.983559001,486618,frame-00002.png
3,0.200000003,16919899.048717100,480503,frame-00003.png
4,0.250000000,16919899.114983801,486658,frame-00004.png
5,0.300000012,16919899.181353200,488368,frame-00005.png
6,0.350000024,16919899.254096400,485921,frame-00006.png
7,0.400000036,16919899.319846801,487841,frame-00007.png
8,0.450000048,16919899.380333900,473258,frame-00008.png
9,0.500000060,16919899.444906201,493346,frame-00009.png
10,0.550000072,16919899.510076798,486432,frame-00010.png
11,0.600000083,16919899.576626699,480453,frame-00011.png
12,0.650000095,16919899.643814199,485490,frame-00012.png
13,0.000000119,16919899.709535699,487100,frame-00013.png
14,0.050000120,16919899.774852000,485416,frame-00014.png
