frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919901.594967600,483606,frame-00000.png
1,0.100000001,16919901.662974000,489159,frame-00001.png
2,0.150000006,16919901.729969900,490763,frame-00002.png
3,0.200000003,16919901.800054200,489501,frame-00003.png
4,0.250000000,16919901.871812899,491618,frame-00004.png
5,0.300000012,16919901.938274302,480572,frame-00005.png
6,0.350000024,16919902.004647501,498403,frame-00006.png
7,0.400000036,16919902.076168898,490611,frame-00007.png
8,0.450000048,16919902.145488199,486373,frame-00008.png
9,0.500000060,16919902.220064301,491425,frame-00009.png
10,0.550000072,16919902.285132401,493152,frame-00010.png
11,0.600000083,16919902.355723798,489984,frame-00011.png
12,0.650000095,16919902.424762499,490346,frame-00012.png
13,0.700000107,16919902.490545701,477492,frame-00013.png
14,0.750000119,16919902.556406900,495608,frame-00014.png
15,0.800000131,16919902.623695400,487888,frame-00015.png
16,0.850000143,16919902.690135799,482161,frame-00016.png
17,0.900000155,16919902.754509602,486046,frame-00017.png
18,0.950000167,16919902.827297598,488837,frame-00018.png
19,0.000000119,16919902.899075501,488465,frame-00019.png
20,0.050000120,16919902.973203398,490605,frame-00020.png
