frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919894.524012402,486200,frame-00000.png
1,0.100000001,16919894.598858301,488255,frame-00001.png
2,0.150000006,16919894.667313501,485350,frame-00002.png
3,0.200000003,16919894.732074901,486814,frame-00003.png
4,0.250000000,16919894.795398898,472666,frame-00004.png
5,0.300000012,16919894.861673001,493337,frame-00005.png
6,0.350000024,16919894.926946901,485852,frame-00006.png
7,0.400000036,16919894.991373200,480632,frame-00007.png
8,0.450000048,16919895.054265399,485052,frame-00008.png
9,0.500000060,16919895.121728800,487749,frame-00009.png
10,0.550000072,16919895.188211702,485023,frame-00010.png
11,0.600000083,16919895.253902499,486828,frame-00011.png
12,0.650000095,16919895.323228400,471633,frame-00012.png
13,0.700000107,16919895.390718400,492906,frame-00013.png
14,0.750000119,16919895.456211001,485184,frame-00014.png
15,0.800000131,16919895.519968700,479564,frame-00015.png
16,0.850000143,16919895.586488899,484645,frame-00016.png
17,0.900000155,16919895.651089601,486959,frame-00017.png
18,0.950000167,16919895.720786002,484595,frame-00018.png
19,1.000000119,16919895.785825498,486591,frame-00019.png
20,1.050000072,16919895.849268802,471554,frame-00020.png
21,1.100000024,16919895.914283801,492799,frame-00021.png
22,1.149999976,16919895.976817500,485400,frame-00022.png
23,1.199999928,16919896.040364299,479330,frame-00023.png
24,1.249999881,16919896.108512301,484246,frame-00024.png
25,1.299999833,16919896.173646901,486863,frame-00025.png
26,1.349999785,16919896.240412202,483931,frame-00026.png
27,1.399999738,16919896.304827999,485480,frame-00027.png
28,1.449999690,16919896.367469899,471350,frame-00028.png
29,1.499999642,16919896.446601700,491917,frame-00029.png
30,1.549999595,16919896.523627199,484807,frame-00030.png
31,1.599999547,16919896.604966700,478664,frame-00031.png
32,1.649999499,16919896.675866801,483972,frame-00032.png
33,1.699999452,16919896.743990399,486216,frame-00033.png
34,1.749999404,16919896.815867800,483714,frame-00034.png
35,1.799999356,16919896.884638801,485532,frame-00035.png
36,1.849999309,16919896.948972002,471351,frame-00036.png
37,1.899999261,16919897.022472601,492379,frame-00037.png
38,1.949999213,16919897.092532400,484876,frame-00038.png
39,1.999999166,16919897.161018301,478895,frame-00039.png
40,0.049999237,16919897.227177098,483994,frame-00040.png
