frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919897.348298900,486835,frame-00000.png
1,0.100000001,16919897.413587701,489564,frame-00001.png
2,0.150000006,16919897.482248899,488448,frame-00002.png
3,0.200000003,16919897.547889601,490379,frame-00003.png
4,0.250000000,16919897.612911601,478305,frame-00004.png
5,0.300000012,16919897.678976201,496067,frame-00005.png
6,0.350000024,16919897.745056599,489540,frame-00006.png
7,0.400000036,16919897.811021600,481658,frame-00007.png
8,0.450000048,16919897.878646199,487029,frame-00008.png
9,0.500000060,16919897.948301598,487986,frame-00009.png
10,0.550000072,16919898.019107498,486556,frame-00010.png
11,0.600000083,16919898.087887801,488604,frame-00011.png
12,0.650000095,16919898.150381502,476383,frame-00012.png
13,0.700000107,16919898.221813802,496861,frame-00013.png
14,0.750000119,16919898.290308099,490801,frame-00014.png
15,0.800000131,16919898.362071600,483314,frame-00015.png
16,0.850000143,16919898.436455298,488762,frame-00016.png
17,0.900000155,16919898.512070101,488921,frame-00017.png
18,0.950000167,16919898.585675199,486796,frame-00018.png
19,0.000000119,16919898.662269101,487932,frame-00019.png
20,0.050000120,16919898.740496200,474054,frame-00020.png
