frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919903.096446101,489677,frame-00000.png
1,0.100000001,16919903.162791900,475424,frame-00001.png
2,0.150000006,16919903.231552701,494724,frame-00002.png
3,0.200000003,16919903.299453098,488206,frame-00003.png
4,0.250000000,16919903.364879102,481905,frame-00004.png
5,0.300000012,16919903.431346498,487167,frame-00005.png
6,0.350000024,16919903.504598800,489290,frame-00006.png
7,0.400000036,16919903.574460000,487837,frame-00007.png
8,0.450000048,16919903.642337400,489035,frame-00008.png
9,0.500000060,16919903.712479301,474667,frame-00009.png
10,0.550000072,16919903.785327900,494494,frame-00010.png
11,0.600000083,16919903.850701001,487233,frame-00011.png
12,0.650000095,16919903.915943500,481357,frame-00012.png
13,0.700000107,16919903.981351100,486850,frame-00013.png
14,0.750000119,16919904.047247399,488580,frame-00014.png
15,0.800000131,16919904.111791700,486115,frame-00015.png
16,0.850000143,16919904.177479200,488204,frame-00016.png
17,0.900000155,16919904.243217099,473801,frame-00017.png
18,0.950000167,16919904.312493600,493558,frame-00018.png
19,1.000000119,16919904.383038301,486863,frame-00019.png
20,1.050000072,16919904.449533101,481055,frame-00020.png
21,1.100000024,16919904.518951099,486379,frame-00021.png
22,1.149999976,16919904.587650400,488608,frame-00022.png
23,1.199999928,16919904.655707099,486842,frame-00023.png
24,1.249999881,16919904.724200800,488547,frame-00024.png
25,1.299999833,16919904.788590498,474337,frame-00025.png
26,1.349999785,16919904.863451499,494010,frame-00026.png
27,1.399999738,16919904.937309299,487589,frame-00027.png
28,1.449999690,16919905.019555200,480952,frame-00028.png
29,1.499999642,16919905.093373299,487811,frame-00029.png
30,0.049999595,16919905.167460300,489403,frame-00030.png
