frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919889.170158301,471334,frame-00000.png
1,0.100000001,16919889.241512999,489193,frame-00001.png
2,0.150000006,16919889.315314598,480756,frame-00002.png
3,0.200000003,16919889.379466001,475203,frame-00003.png
4,0.250000000,16919889.445834100,482881,frame-00004.png
5,0.300000012,16919889.517297398,484937,frame-00005.png
6,0.350000024,16919889.592854500,485014,frame-00006.png
7,0.400000036,16919889.660623901,487253,frame-00007.png
8,0.450000048,16919889.733176801,475663,frame-00008.png
9,0.000000060,16919889.802928802,495182,frame-00009.png
10,0.050000060,16919889.881089900,483520,frame-00010.png
