frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919888.042621199,483745,frame-00000.png
1,0.100000001,16919888.113969799,476703,frame-00001.png
2,0.150000006,16919888.183117699,479152,frame-00002.png
3,0.200000003,16919888.254711300,481004,frame-00003.png
4,0.250000000,16919888.323257200,479583,frame-00004.png
5,0.300000012,16919888.392342199,480874,frame-00005.png
6,0.350000024,16919888.459634900,469044,frame-00006.png
7,0.400000036,16919888.534377102,490549,frame-00007.png
8,0.450000048,16919888.609127000,483508,frame-00008.png
9,0.500000060,16919888.678860702,479648,frame-00009.png
10,0.550000072,16919888.749477401,485891,frame-00010.png
11,0.600000083,16919888.826223399,487474,frame-00011.png
12,0.650000095,16919888.896800201,487515,frame-00012.png
13,0.000000119,16919888.971074700,489171,frame-00013.png
14,0.050000120,16919889.041364402,472449,frame-00014.png
