frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919890.731038000,487191,frame-00000.png
1,0.100000001,16919890.797358900,482966,frame-00001.png
2,0.150000006,16919890.862505902,488678,frame-00002.png
3,0.200000003,16919890.928145401,491311,frame-00003.png
4,0.250000000,16919890.997938398,490580,frame-00004.png
5,0.300000012,16919891.067224499,492390,frame-00005.png
6,0.350000024,16919891.131792799,480011,frame-00006.png
7,0.400000036,16919891.200515799,499186,frame-00007.png
8,0.450000048,16919891.269146599,492080,frame-00008.png
9,0.500000060,16919891.334882401,488856,frame-00009.png
10,0.550000072,16919891.401983600,492607,frame-00010.png
11,0.600000083,16919891.468243401,492582,frame-00011.png
12,0.650000095,16919891.541495800,491106,frame-00012.png
13,0.700000107,16919891.611050799,490545,frame-00013.png
14,0.750000119,16919891.679289699,477348,frame-00014.png
15,0.800000131,16919891.749180399,496198,frame-00015.png
16,0.850000143,16919891.818206199,487989,frame-00016.png
17,0.900000155,16919891.894044802,483083,frame-00017.png
18,0.950000167,16919891.969333000,487418,frame-00018.png
19,0.000000119,16919892.047862999,487423,frame-00019.png
20,0.050000120,16919892.123020701,487804,frame-00020.png
