frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919883.606440600,485070,frame-00000.png
1,0.100000001,16919883.672586199,486495,frame-00001.png
2,0.150000006,16919883.738725800,471781,frame-00002.png
3,0.200000003,16919883.806139302,492444,frame-00003.png
4,0.250000000,16919883.870572802,484025,frame-00004.png
5,0.300000012,16919883.935458802,479087,frame-00005.png
6,0.350000024,16919884.001484200,484526,frame-00006.png
7,0.400000036,16919884.065459199,486141,frame-00007.png
8,0.450000048,16919884.131552801,485122,frame-00008.png
9,0.500000060,16919884.196732800,486417,frame-00009.png
10,0.550000072,16919884.264961999,471846,frame-00010.png
11,0.600000083,16919884.331255499,492733,frame-00011.png
12,0.650000095,16919884.398136999,483999,frame-00012.png
13,0.700000107,16919884.464549500,479363,frame-00013.png
14,0.750000119,16919884.530188400,484560,frame-00014.png
15,0.800000131,16919884.595715102,486222,frame-00015.png
16,0.850000143,16919884.657746900,483997,frame-00016.png
17,0.900000155,16919884.732129600,485994,frame-00017.png
18,0.950000167,16919884.796904702,471276,frame-00018.png
19,1.000000119,16919884.864829201,492769,frame-00019.png
20,1.050000072,16919884.932337798,483824,frame-00020.png
21,1.100000024,16919885.003664099,479355,frame-00021.png
22,1.149999976,16919885.071309000,484893,frame-00022.png
23,1.199999928,16919885.136126101,486067,frame-00023.png
24,1.249999881,16919885.198909499,484430,frame-00024.png
25,1.299999833,16919885.271067299,485148,frame-00025.png
26,1.349999785,16919885.338404700,471729,frame-00026.png
27,1.399999738,16919885.402812999,492154,frame-00027.png
28,1.449999690,16919885.476342499,483538,frame-00028.png
29,1.499999642,16919885.551919501,478714,frame-00029.png
30,1.549999595,16919885.628169298,484180,frame-00030.png
31,1.599999547,16919885.700835999,485342,frame-00031.png
32,1.649999499,16919885.773892801,483986,frame-00032.png
33,1.699999452,16919885.849491499,485248,frame-00033.png
34,1.749999404,16919885.916294500,471018,frame-00034.png
35,1.799999356,16919885.984015498,492410,frame-00035.png
36,1.849999309,16919886.053513099,483467,frame-00036.png
37,1.899999261,16919886.127179202,478301,frame-00037.png
38,1.949999213,16919886.194954000,484651,frame-00038.png
39,1.999999166,16919886.267719399,485360,frame-00039.png
40,0.049999237,16919886.337234698,484140,frame-00040.png
