frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919886.462342601,486243,frame-00000.png
1,0.100000001,16919886.531048998,489622,frame-00001.png
2,0.150000006,16919886.599379800,475984,frame-00002.png
3,0.200000003,16919886.672435801,496406,frame-00003.png
4,0.250000000,16919886.745863300,488321,frame-00004.png
5,0.300000012,16919886.813457500,483237,frame-00005.png
6,0.350000024,16919886.880201299,488504,frame-00006.png
7,0.400000036,16919886.953297500,489338,frame-00007.png
8,0.450000048,16919887.026927099,487244,frame-00008.png
9,0.500000060,16919887.096249700,487897,frame-00009.png
10,0.550000072,16919887.165152200,474109,frame-00010.png
11,0.600000083,16919887.235408701,495418,frame-00011.png
12,0.650000095,16919887.305003501,488113,frame-00012.png
13,0.700000107,16919887.371438298,483842,frame-00013.png
14,0.750000119,16919887.447050199,488900,frame-00014.png
15,0.800000131,16919887.513970502,489203,frame-00015.png
16,0.850000143,16919887.583540998,488231,frame-00016.png
17,0.900000155,16919887.654065501,489557,frame-00017.png
18,0.950000167,16919887.726993300,474474,frame-00018.png
19,0.000000119,16919887.806861501,494567,frame-00019.png
20,0.050000120,16919887.886966199,485716,frame-00020.png
