frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919892.288082201,487161,frame-00000.png
1,0.100000001,16919892.361612398,486822,frame-00001.png
2,0.150000006,16919892.428616598,471794,frame-00002.png
3,0.200000003,16919892.498477701,490649,frame-00003.png
4,0.250000000,16919892.569847502,481907,frame-00004.png
5,0.300000012,16919892.636397500,477448,frame-00005.png
6,0.350000024,16919892.714271799,483320,frame-00006.png
7,0.400000036,16919892.781077702,484590,frame-00007.png
8,0.450000048,16919892.848590400,482516,frame-00008.png
9,0.500000060,16919892.916404601,483869,frame-00009.png
10,0.550000072,16919892.980209000,469358,frame-00010.png
11,0.600000083,16919893.048793301,490902,frame-00011.png
12,0.650000095,16919893.114297301,482841,frame-00012.png
13,0.700000107,16919893.182037100,476887,frame-00013.png
14,0.750000119,16919893.249495700,482564,frame-00014.png
15,0.800000131,16919893.313567601,484333,frame-00015.png
16,0.850000143,16919893.378561400,481926,frame-00016.png
17,0.900000155,16919893.444928501,483533,frame-00017.png
18,0.950000167,16919893.507592000,468393,frame-00018.png
19,1.000000119,16919893.575707801,490232,frame-00019.png
20,1.050000072,16919893.648484301,481841,frame-00020.png
21,1.100000024,16919893.715727299,476665,frame-00021.png
22,1.149999976,16919893.782778800,482830,frame-00022.png
23,1.199999928,16919893.849648599,483892,frame-00023.png
24,1.249999881,16919893.921073701,481777,frame-00024.png
25,1.299999833,16919893.989666302,483898,frame-00025.png
26,1.349999785,16919894.054488000,471013,frame-00026.png
27,1.399999738,16919894.123158999,492697,frame-00027.png
28,1.449999690,16919894.195270900,486760,frame-00028.png
29,1.499999642,16919894.272033900,481590,frame-00029.png
30,0.049999595,16919894.344753899,486806,frame-00030.png
