frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919909.761784401,492649,frame-00000.png
1,0.100000001,16919909.833408300,486185,frame-00001.png
2,0.150000006,16919909.905704901,481691,frame-00002.png
3,0.200000003,16919909.976813700,487588,frame-00003.png
4,0.250000000,16919910.043752700,487156,frame-00004.png
5,0.300000012,16919910.113591000,487425,frame-00005.png
6,0.350000024,16919910.180378199,489354,frame-00006.png
7,0.400000036,16919910.245316599,475946,frame-00007.png
8,0.450000048,16919910.313046701,494633,frame-00008.png
9,0.500000060,16919910.381611601,487618,frame-00009.png
10,0.550000072,16919910.450212099,481768,frame-00010.png
11,0.600000083,16919910.517029401,486440,frame-00011.png
12,0.650000095,16919910.591869298,488488,frame-00012.png
13,0.700000107,16919910.661913399,486520,frame-00013.png
14,0.750000119,16919910.736740101,488451,frame-00014.png
15,0.800000131,16919910.800985500,472329,frame-00015.png
16,0.850000143,16919910.869232401,492237,frame-00016.png
17,0.900000155,16919910.936424602,484219,frame-00017.png
18,0.950000167,16919911.000035498,478927,frame-00018.png
19,1.000000119,16919911.065648999,486148,frame-00019.png
20,1.050000072,16919911.133350600,487969,frame-00020.png
21,1.100000024,16919911.206693899,487819,frame-00021.png
22,1.149999976,16919911.275707401,489634,frame-00022.png
23,1.199999928,16919911.343788799,474685,frame-00023.png
24,1.249999881,16919911.412465502,494080,frame-00024.png
25,1.299999833,16919911.483088300,486195,frame-00025.png
26,0.049999833,16919911.551295400,480806,frame-00026.png
