frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919913.201407999,488170,frame-00000.png
1,0.100000001,16919913.269969501,486885,frame-00001.png
2,0.150000006,16919913.337478399,489230,frame-00002.png
3,0.200000003,16919913.407515101,475109,frame-00003.png
4,0.250000000,16919913.476094000,496419,frame-00004.png
5,0.300000012,16919913.542221099,489856,frame-00005.png
6,0.350000024,16919913.606606402,485551,frame-00006.png
7,0.400000036,16919913.691249199,489782,frame-00007.png
8,0.450000048,16919913.775192499,491633,frame-00008.png
9,0.500000060,16919913.847037300,490841,frame-00009.png
10,0.550000072,16919913.914126199,492058,frame-00010.png
11,0.600000083,16919913.980883401,478250,frame-00011.png
12,0.650000095,16919914.052961700,495317,frame-00012.png
13,0.700000107,16919914.120937601,487010,frame-00013.png
14,0.750000119,16919914.187217802,481318,frame-00014.png
15,0.800000131,16919914.253403001,485703,frame-00015.png
16,0.850000143,16919914.323834199,487328,frame-00016.png
17,0.900000155,16919914.392888501,485683,frame-00017.png
18,0.950000167,16919914.460964799,487336,frame-00018.png
19,0.000000119,16919914.533574201,476968,frame-00019.png
20,0.050000120,16919914.605037600,494680,frame-00020.png
