frame,animation_seconds,wall_seconds,bytes,file
0,0.050000001,16919905.343384501,487821,frame-00000.png
1,0.100000001,16919905.407786399,485356,frame-00001.png
2,0.150000006,16919905.473798301,487477,frame-00002.png
3,0.200000003,16919905.538201898,471645,frame-00003.png
4,0.250000000,16919905.603515800,492813,frame-00004.png
5,0.300000012,16919905.668802600,485255,frame-00005.png
6,0.350000024,16919905.735492501,479023,frame-00006.png
7,0.400000036,16919905.805454500,484262,frame-00007.png
8,0.450000048,16919905.881983500,486181,frame-00008.png
9,0.500000060,16919905.949644301,484325,frame-00009.png
10,0.550000072,16919906.016910501,486123,frame-00010.png
11,0.600000083,16919906.084641699,471645,frame-00011.png
12,0.650000095,16919906.149328899,492613,frame-00012.png
13,0.700000107,16919906.216683701,485026,frame-00013.png
14,0.750000119,16919906.284947701,478819,frame-00014.png
15,0.800000131,16919906.351992700,483980,frame-00015.png
16,0.850000143,16919906.416827202,486591,frame-00016.png
17,0.900000155,16919906.485795800,485089,frame-00017.png
18,0.950000167,16919906.551249899,486734,frame-00018.png
19,1.000000119,16919906.615806501,471881,frame-00019.png
20,1.050000072,16919906.685604200,493314,frame-00020.png
21,1.100000024,16919906.752509698,485584,frame-00021.png
22,1.149999976,16919906.816036299,479375,frame-00022.png
23,1.199999928,16919906.881935500,484281,frame-00023.png
24,1.249999881,16919906.948743101,486208,frame-00024.png
25,1.299999833,16919907.012363698,484615,frame-00025.png
26,1.349999785,16919907.080448199,486523,frame-00026.png
27,1.399999738,16919907.145565100,471365,frame-00027.png
28,1.449999690,16919907.227262601,492609,frame-00028.png
29,1.499999642,16919907.304900199,484963,frame-00029.png
30,1.549999595,16919907.383089900,478634,frame-00030.png
31,1.599999547,16919907.458761800,483640,frame-00031.png
32,1.649999499,16919907.530027900,486349,frame-00032.png
33,1.699999452,16919907.604660399,484187,frame-00033.png
34,1.749999404,16919907.679776099,486240,frame-00034.png
35,1.799999356,16919907.754120801,470874,frame-00035.png
36,1.849999309,16919907.825612001,492612,frame-00036.png
37,1.899999261,16919907.898893300,484747,frame-00037.png
38,1.949999213,16919907.969957702,478574,frame-00038.png
39,1.999999166,16919908.037038501,483704,frame-00039.png
40,0.049999237,16919908.104621898,486344,frame-00040.png
